no change     /scratch/mkalla/miniconda3/condabin/conda
no change     /scratch/mkalla/miniconda3/bin/conda
no change     /scratch/mkalla/miniconda3/bin/conda-env
no change     /scratch/mkalla/miniconda3/bin/activate
no change     /scratch/mkalla/miniconda3/bin/deactivate
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.sh
no change     /scratch/mkalla/miniconda3/etc/fish/conf.d/conda.fish
no change     /scratch/mkalla/miniconda3/shell/condabin/Conda.psm1
no change     /scratch/mkalla/miniconda3/shell/condabin/conda-hook.ps1
no change     /scratch/mkalla/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.csh
no change     /home/opis/mkalla/.bashrc
No action taken.
--- Nombre total de combinaisons definies : 30 ---
--- Job Slurm ID: 501906 | Tache: 0/30 ---
--- Modele: p3mg | Strategie: unrolling | Dataset: data_0 | Mode: full ---
--- Arguments specifiques : --num_layers 30 --num_pd_layers 10 ---
[INFO] Exécution verrouillée sur le GPU : 0
[AVERTISSEMENT] Paramètre 'train' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'save_dir' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'train_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'Loss' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_pd_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'resume' du YAML non reconnu par argparse.
=== Lancement : P3MG | Stratégie : UNROLLING | Mode : FULL ===
--- Préparation des DataLoaders ---
[INFO] Chargement des données depuis : ./Dataset/data_0
[INFO] Instanciation des MyDataset...
[INFO] Train: 800 | Val: 100 | Test: 100
[INFO] Résultats sauvegardés dans : runs/p3mg/unrolling/data_0/20260826-154236_full
[INFO] Modèle P3MG instancié.
--- [TRAIN] P3MG (UNROLLING) | Epochs: 50 | Loss: MSE ---
Ep 1/50 | Tr: 2.3167e-05 | Val: 2.1453e-05 | T: 344.9s
Ep 2/50 | Tr: 1.6434e-05 | Val: 1.2023e-05 | T: 344.3s
Ep 3/50 | Tr: 1.3341e-05 | Val: 1.3642e-05 | T: 346.9s
Ep 4/50 | Tr: 1.7831e-05 | Val: 1.2381e-05 | T: 348.4s
Ep 5/50 | Tr: 1.3727e-05 | Val: 1.2356e-05 | T: 346.3s
Ep 6/50 | Tr: 1.2799e-05 | Val: 1.1398e-05 | T: 346.6s
Ep 7/50 | Tr: 1.2256e-05 | Val: 1.0881e-05 | T: 347.3s
Ep 8/50 | Tr: 1.1757e-05 | Val: 1.0574e-05 | T: 345.3s
Ep 9/50 | Tr: 1.2365e-05 | Val: 1.3594e-05 | T: 345.2s
Ep 10/50 | Tr: 1.2344e-05 | Val: 1.0475e-05 | T: 346.0s
Ep 11/50 | Tr: 1.0829e-05 | Val: 9.5025e-06 | T: 348.9s
Ep 12/50 | Tr: 1.0483e-05 | Val: 9.4002e-06 | T: 343.9s
Ep 13/50 | Tr: 1.0363e-05 | Val: 9.2689e-06 | T: 345.6s
Ep 14/50 | Tr: 1.0289e-05 | Val: 9.2197e-06 | T: 344.2s
Ep 15/50 | Tr: 1.0253e-05 | Val: 9.1353e-06 | T: 344.8s
Ep 16/50 | Tr: 1.0155e-05 | Val: 9.1334e-06 | T: 346.3s
Ep 17/50 | Tr: 1.0092e-05 | Val: 9.1376e-06 | T: 345.7s
Ep 18/50 | Tr: 1.0115e-05 | Val: 9.1015e-06 | T: 345.0s
Ep 19/50 | Tr: 1.0006e-05 | Val: 9.2290e-06 | T: 345.0s
Ep 20/50 | Tr: 1.0002e-05 | Val: 9.0182e-06 | T: 345.8s
Ep 21/50 | Tr: 9.9462e-06 | Val: 9.1970e-06 | T: 346.5s
Ep 22/50 | Tr: 9.9831e-06 | Val: 9.3359e-06 | T: 344.9s
Ep 23/50 | Tr: 9.9902e-06 | Val: 9.2627e-06 | T: 345.5s
Ep 24/50 | Tr: 9.9285e-06 | Val: 9.0033e-06 | T: 346.4s
Ep 25/50 | Tr: 9.9192e-06 | Val: 9.0759e-06 | T: 347.8s
Ep 26/50 | Tr: 9.9239e-06 | Val: 8.9374e-06 | T: 347.0s
Ep 27/50 | Tr: 9.8903e-06 | Val: 9.0569e-06 | T: 345.7s
Ep 28/50 | Tr: 9.9646e-06 | Val: 9.0347e-06 | T: 346.8s
Ep 29/50 | Tr: 9.9819e-06 | Val: 9.1149e-06 | T: 345.5s
Ep 30/50 | Tr: 9.9462e-06 | Val: 9.1795e-06 | T: 347.8s
Ep 31/50 | Tr: 9.7840e-06 | Val: 8.6688e-06 | T: 346.1s
Ep 32/50 | Tr: 9.2966e-06 | Val: 8.3168e-06 | T: 345.7s
Ep 33/50 | Tr: 9.2785e-06 | Val: 8.4498e-06 | T: 345.8s
Ep 34/50 | Tr: 9.1354e-06 | Val: 8.5919e-06 | T: 347.2s
Ep 35/50 | Tr: 9.1416e-06 | Val: 8.2079e-06 | T: 348.7s
Ep 36/50 | Tr: 9.2057e-06 | Val: 8.2613e-06 | T: 346.4s
Ep 37/50 | Tr: 8.9776e-06 | Val: 8.2376e-06 | T: 345.4s
Ep 38/50 | Tr: 9.0091e-06 | Val: 8.4250e-06 | T: 345.5s
Ep 39/50 | Tr: 9.0110e-06 | Val: 8.1971e-06 | T: 344.3s
Ep 40/50 | Tr: 9.0852e-06 | Val: 8.2057e-06 | T: 346.2s
Ep 41/50 | Tr: 9.0087e-06 | Val: 8.1539e-06 | T: 346.1s
Ep 42/50 | Tr: 8.9809e-06 | Val: 8.2358e-06 | T: 342.9s
Ep 43/50 | Tr: 8.9735e-06 | Val: 8.1682e-06 | T: 346.0s
Ep 44/50 | Tr: 8.9516e-06 | Val: 8.1491e-06 | T: 347.0s
Ep 45/50 | Tr: 9.1133e-06 | Val: 8.2538e-06 | T: 345.4s
Ep 46/50 | Tr: 8.9825e-06 | Val: 8.2016e-06 | T: 347.5s
Ep 47/50 | Tr: 9.1387e-06 | Val: 8.2602e-06 | T: 345.7s
Ep 48/50 | Tr: 8.9219e-06 | Val: 8.1125e-06 | T: 346.5s
Ep 49/50 | Tr: 8.8492e-06 | Val: 7.9884e-06 | T: 346.0s
Ep 50/50 | Tr: 8.7943e-06 | Val: 8.0360e-06 | T: 346.8s
--- [TRAIN] Terminé en 291.60 min ---
--- [TEST] P3MG (UNROLLING) | Metric: MSE | Samples: 100 ---
[INFO] Chargement des poids depuis : runs/p3mg/unrolling/data_0/20260826-154236_full/checkpoints/best_model.pt
[RESULT] Mean MSE: 9.8918e-06 | Median: 8.9282e-06 | Std: 5.0318e-06 | Best: 2.1435e-06 | Worst: 3.0870e-05

=== Exécution Terminée ===
--- Tache 0 (p3mg/unrolling/data_0) terminee ---
